#Frame      Mode1    Mode2    Mode3
     341    7.365   -1.507   -2.008
     342    5.693    2.611   -2.389
     343    6.195    1.845    0.204
     344    4.727    0.757   -0.669
     345    8.222    1.924   -2.437
     346    7.223    2.626   -0.727
     347    7.344    0.538    0.116
     348    6.257    3.335    2.104
     349    6.476    3.154    1.441
     350    7.448    1.896    1.421
     351    5.684    4.482   -0.785
     352    6.458    0.447    2.807
     353    7.046    5.208    2.491
     354    7.587    0.403   -3.317
     355   12.032   -1.019    0.163
     356    7.307    1.324   -0.162
     357    6.369    1.667   -2.942
     358    7.501    3.713   -4.561
     359    7.315    5.262   -4.136
     360    6.084    3.905   -1.263
     361    9.129    4.492   -1.489
     362    6.986    2.105    0.421
     363    8.128    1.845   -1.561
     364    6.464    2.598   -2.231
     365    8.475    2.627    0.251
     366    8.463    3.277   -0.169
     367    7.602    1.830   -4.048
     368    8.655    1.107   -5.193
     369    8.114    3.657   -8.002
     370    6.326    0.387   -6.386
     371    5.854    3.090   -6.167
     372    5.424    2.950   -8.022
     373    7.492    2.565   -4.885
     374   10.426    1.787   -2.956
     375    9.753    3.417   -3.007
     376    5.749    7.756   -2.790
     377    8.543    1.203   -3.231
     378    8.642    3.082   -4.484
     379    6.926    3.457   -5.400
     380    7.474    4.130   -3.960
     381   10.398    2.137   -2.397
     382    7.068    0.468   -2.144
     383    8.304    3.215   -3.157
     384    9.169    2.032   -3.784
     385    9.999    1.272   -2.510
     386    8.776    1.028   -1.855
     387   10.173    6.130   -5.177
     388    8.904    4.067   -1.793
     389    8.470    0.372   -2.666
     390   10.253    1.585   -3.985
     391    8.799    4.347   -6.627
     392    7.977    6.007   -6.141
     393   10.114    2.533   -7.897
     394    9.832    3.581   -8.205
     395    9.992    0.940   -5.262
     396   10.169    1.273   -3.874
     397    9.951    3.066   -6.282
     398   10.785    2.204   -7.818
     399    9.831    0.186   -6.364
     400   10.286    1.567   -5.004
     401    8.719    0.335   -6.063
     402    8.410    4.564   -4.377
     403    6.932    3.327   -5.315
